protein_1	A1URA3
protein_2293	Q0ID97
protein_2294	P0C0K3
protein_2295	Q7X2H8
protein_2296	P24244
protein_2297	O33012
protein_2298	P70964
protein_2299	Q1CZI7
protein_2300	Q46835
protein_2301	Q7U3C4
protein_2302	P0AE70
protein_2303	P9WGY7
protein_2304	P9WNI7
protein_2305	P62623
protein_2306	O32504
protein_2307	C0N6S7
protein_2308	Q2SUE8
protein_2309	P9WKC7
protein_2310	P9WKB7
protein_2311	P9WL66
protein_2312	P49941
protein_2313	P47660
protein_2314	P73715
protein_2315	Q048Y6
protein_2316	Q0RDH8
protein_2317	Q1D2J4
protein_2318	O31773
protein_2319	P21887
protein_2320	P42065
protein_2321	Q45706
protein_2322	A4ISB5
protein_2323	A0Q3R3
protein_2324	A1SUE5
protein_2325	A3M500
protein_2326	A4XL47
protein_2327	A5GDX3
protein_2328	Q24WC0
protein_2329	Q2RKV8
protein_2330	Q31F87
protein_2331	Q3IKN2
protein_2332	Q4JTH1
protein_2333	B2S3B8
protein_2334	Q30S45
protein_2335	D1J722
protein_2336	Q4A5F0
protein_2337	B0S1S0
protein_2338	Q7UMF7
protein_2339	A0LZ43
protein_2340	A5GQ35
protein_2341	P0AD30
protein_2342	Q9ZW34
protein_2343	B0RSM3
protein_2344	O29133
protein_2345	Q3J729
protein_2346	O27950
protein_2347	O25758
protein_2348	P08007
protein_2349	A1AV43
protein_2350	A7I145
protein_2351	P39099
protein_2352	O31654
protein_2353	P77212
protein_2354	B8DPH7
protein_2355	P14788
protein_2356	Q2SR15
protein_2357	A1STE3
protein_2358	A9KG91
protein_2359	C0R3M5
protein_2360	Q1QSW9
protein_2361	A8MM16
protein_2362	Q8NMK7
protein_2363	P0A9K7
protein_2364	P76106
protein_2365	P9WMY9
protein_2366	B0U6V1
protein_2367	A0M5T6
protein_2368	A6TW45
protein_2369	B3E340
protein_2370	P60941
protein_2371	P44496
protein_2372	Q03QP1
protein_2373	Q0BVJ5
protein_2374	Q18C13
protein_2375	Q1QY28
protein_2376	A9NF64
protein_2377	B9L7I2
protein_2378	Q1MQW6
protein_2379	Q7V8Z1
protein_2380	A5FRL6
protein_2381	B1N025
protein_2382	B2RL29
protein_2383	B8G418
protein_2384	B8GCC9
protein_2385	Q38199
protein_2386	P9WGI1
protein_2387	Q0P9D3
protein_2388	Q79FL8
protein_2389	A0A524IKF2
protein_2390	A0A5M8Q3F1
protein_2391	P37875
protein_2392	Q06823
protein_2393	Q9KDL8
protein_2394	Q8RB27
protein_2395	P75528
protein_2396	A0A257DCT5
protein_2397	A0RJ27
protein_2398	A1WXM0
protein_2399	A4FBA7
protein_2400	A5D1P4
protein_2401	A5UQF5
protein_2402	O34460
protein_2403	A6M3M5
protein_2404	Q24M98
protein_2405	Q6KH82
protein_2406	A0B9M2
protein_2407	A5UMH8
protein_2408	B2HFY7
protein_2409	Q30UH8
protein_2410	Q6MIV0
protein_2411	Q9RXG4
protein_2412	Q88VW2
protein_2413	A9NHL6
protein_2414	C9SUS0
protein_2415	Q7UM95
protein_2416	A0Q200
protein_2417	B2RJ03
protein_2418	Q2RWQ0
protein_2419	Q88YK2
protein_2420	A8MGJ5
protein_2421	A9M3B7
protein_2422	B1YKM8
protein_2423	B2UP63
protein_2424	Q0BX02
protein_2425	Q56236
protein_2426	A1KJ30
protein_2427	B3QZ04
protein_2428	Q7NAZ3
protein_2429	Q1LKN4
protein_2430	Q1LNF8
protein_2431	Q1LK35
protein_2432	O30330
protein_2433	O06717
protein_2434	P04835
protein_2435	P41028
protein_2436	Q5WAC9
protein_2437	O06010
protein_2438	Q3SME4
protein_2439	P9WGT7
protein_2440	P0AAB8
protein_2441	Q4QMJ5
protein_2442	P0C054
protein_2443	Q49Y24
protein_2444	Q7VC04
protein_2445	Q9WYZ6
protein_2446	I6Y2J4
protein_2447	A0A7X0ET60
protein_2448	P31677
protein_2449	Q9X4A5
protein_2450	B3CLB3
protein_2451	P9WGH3
protein_2452	Q6N1H2
protein_2453	Q112N5
protein_2454	Q1IKI1
protein_2455	Q2SCL2
protein_2456	B8FXW8
protein_2457	B9KKS1
protein_2458	C4K7W2
protein_2459	O67887
protein_2460	P66848
protein_2461	B0S3V1
protein_2462	Q2NJ23
protein_2463	A1AXV2
protein_2464	A8MG50
protein_2465	B8GXP4
protein_2466	P21499
protein_2467	P9WNV9
protein_2468	B1GZQ6
protein_2469	P47481
protein_2470	Q6ME13
protein_2471	Q1LQA5
protein_2472	Q1LS37
protein_2473	Q1LHL0
protein_2474	Q1LJY1
protein_2475	Q1LI19
protein_2476	P64646
protein_2477	P9WKW5
protein_2478	P0A7J7
protein_2479	Q88G93
protein_2480	A0A0C7ARE3
protein_2481	P39570
protein_2482	P20964
protein_2483	P19638
protein_2484	Q9K2S2
protein_2485	P05519
protein_2486	Q2J8M1
protein_2487	Q82A79
protein_2488	A1AX35
protein_2489	A5WDN1
protein_2490	B0SBH8
protein_2491	Q7UPG4
protein_2492	Q8K9A8
protein_2493	Q98PL2
protein_2494	Q9X1X1
protein_2495	P62164
protein_2496	P37817
protein_2497	P26937
protein_2498	D5DQW6
protein_2499	P0A370
protein_2500	Q5FJX0
protein_2501	Q605V8
protein_2502	Q6FFG4
protein_2503	Q7MA70
protein_2504	Q87Y33
protein_2505	Q9KNA8
protein_2506	A0AH42
protein_2507	A1BCW2
protein_2508	A1W0N0
protein_2509	A4J0J1
protein_2510	B9DUP8
protein_2511	Q1IHU1
protein_2512	Q5QWA0
protein_2513	Q9X5G1
protein_2514	C0SP90
protein_2515	Q03524
protein_2516	O32130
protein_2517	P24282
protein_2518	P42983
protein_2519	Q2JNW8
protein_2520	Q2YMH5
protein_2521	Q3IIM0
protein_2522	Q4JV87
protein_2523	Q5NR76
protein_2524	A6GWB0
protein_2525	A7HJI0
protein_2526	A8YWM6
protein_2527	A9NFH1
protein_2528	B0TY95
protein_2529	Q331R1
protein_2530	A5D2K7
protein_2531	A9BHW9
protein_2532	B3EQM3
protein_2533	O67162
protein_2534	A0A0S3QTC6
protein_2535	P61974
protein_2536	A5VSQ0
protein_2537	P75391
protein_2538	P48933
protein_2539	A9CHB2
protein_2540	Q05FY9
protein_2541	Q39ZT0
protein_2542	Q879S5
protein_2543	A7MHU5
protein_2544	A9KD75
protein_2545	A0L9F4
protein_2546	A5WCV5
protein_2547	B2RI95
protein_2548	Q5GRL3
protein_2549	Q635E0
protein_2550	Q6MA55
protein_2551	Q7NG73
protein_2552	Q891Z7
protein_2553	P76316
protein_2554	O69730
protein_2555	P16919
protein_2556	P0ACG8
protein_2557	B3EU33
protein_2558	B5Z6Y6
protein_2559	B8HCE1
protein_2560	C0R250
protein_2561	O26051
protein_2562	A0A643FEU6
protein_2563	Q9AK82
protein_2564	Q9Z985
protein_2565	A1AKR3
protein_2566	A1UU36
protein_2567	A4FQ42
protein_2568	B1YIY2
protein_2569	P0A345
protein_2570	Q5JEV6
protein_2571	Q9F3P9
protein_2572	Q31IT2
protein_2573	A1BFE5
protein_2574	A6Q1Q8
protein_2575	B0TB07
protein_2576	B6ITS0
protein_2577	Q0AJ07
protein_2578	Q38W91
protein_2579	Q74IT4
protein_2580	P80238
protein_2581	P9WMH7
protein_2582	A8A8T7
protein_2583	Q5SKD6
protein_2584	O34991
protein_2585	A9A450
protein_2586	Q58820
protein_2587	O32267
protein_2588	P61184
protein_2589	Q0VPG1
protein_2590	Q3AF11
protein_2591	Q7MZD8
protein_2592	A1KFH3
protein_2593	A9GHU4
protein_2594	B8IJD7
protein_2595	Q1LSM6
protein_2596	Q65H53
protein_2597	Q886F0
protein_2598	A0A1H2FKH3
protein_2599	A8AW76
protein_2600	P60966
protein_2601	Q72LP2
protein_2602	A0AI95
protein_2603	A5EXM7
protein_2604	A0A0J6MY76
protein_2605	A0A127M9I4
protein_2606	P80879
protein_2607	Q28W08
protein_2608	Q5M6D3
protein_2609	B8FUN6
protein_2610	A0A218VKQ6
protein_2611	B9E8V3
protein_2612	A5G169
protein_2613	B0T6E0
protein_2614	Q181S7
protein_2615	Q4FNR7
protein_2616	A8ZU38
protein_2617	A9NGL6
protein_2618	B0TYI6
protein_2619	B1YFL0
protein_2620	B2SHP8
protein_2621	Q4FLS2
protein_2622	Q8RA74
protein_2623	Q606H1
protein_2624	Q87BY1
protein_2625	B1YGP4
protein_2626	Q8UGA9
protein_2627	Q9RSQ5
protein_2628	A0L8F5
protein_2629	A1KU46
protein_2630	Q1QXJ5
protein_2631	Q2LUL3
protein_2632	Q2Y9J7
protein_2633	Q48AS5
protein_2634	Q74H60
protein_2635	P47691
protein_2636	B0U3J1
protein_2637	Q1QIW5
protein_2638	Q7VRF2
protein_2639	Q5WH45
protein_2640	Q9I340
protein_2641	Q6MD97
protein_2642	Q1LR54
protein_2643	Q1LI46
protein_2644	Q3A579
protein_2645	A5EV65
protein_2646	Q0ATU6
protein_2647	Q9WYA1
protein_2648	A6T227
protein_2649	A8I275
protein_2650	A9KNS9
protein_2651	B0T142
protein_2652	B1KI41
protein_2653	B2JMF6
protein_2654	B8FXD7
protein_2655	C5CGG9
protein_2656	O83527
protein_2657	P45188
protein_2658	Q6AAZ9
protein_2659	Q72GZ9
protein_2660	Q82AG6
protein_2661	Q8DMX3
protein_2662	Q8REB0
protein_2663	Q5R065
protein_2664	Q97M68
protein_2665	A3M6J6
protein_2666	A8ER62
protein_2667	A0A6J4KEF1
protein_2668	P37970
protein_2669	P49940
protein_2670	P32960
protein_2671	P24141
protein_2672	A0A2K4Z9G8
protein_2673	Q4JAZ8
protein_2674	Q1RGT4
protein_2675	P17867
protein_2676	A3PNS7
protein_2677	A9NE34
protein_2678	Q6FDF5
protein_2679	A3N1W3
protein_2680	B0S1I1
protein_2681	B8FH26
protein_2682	G8QM63
protein_2683	A0R2N3
protein_2684	P33919
protein_2685	P0DPS1
protein_2686	Q02322
protein_2687	A0KHD5
protein_2688	Q68XG5
protein_2689	Q6NGH4
protein_2690	Q7VIU0
protein_2691	Q8CXF9
protein_2692	Q8PBH3
protein_2693	B3E7X0
protein_2694	Q049W5
protein_2695	Q3J7D7
protein_2696	A0A2N2KG28
protein_2697	Q7NHT3
protein_2698	Q8D382
protein_2699	A1U6U1
protein_2700	A7Z830
protein_2701	B8CWG2
protein_2702	B3CN07
protein_2703	B5EP61
protein_2704	B8F586
protein_2705	B9KYT2
protein_2706	C5BLG1
protein_2707	B3E394
protein_2708	B4UIZ5
protein_2709	B8EKE1
protein_2710	B9EBI4
protein_2711	C1CXS7
protein_2712	A5F3R3
protein_2713	A0A089YNU8
protein_2714	A0A1B3EDC9
protein_2715	A8FDR4
protein_2716	P11470
protein_2717	B5ENA2
protein_2718	Q45552
protein_2719	Q6API9
protein_2720	Q73MH0
protein_2721	Q839T6
protein_2722	Q8EPE6
protein_2723	Q8RGW9
protein_2724	A4SC23
protein_2725	A5FN24
protein_2726	A6GW65
protein_2727	A7HGU3
protein_2728	A8YVM6
protein_2729	A4XU74
protein_2730	B6YQT1
protein_2731	B8G4Q6
protein_2732	Q1GSC9
protein_2733	Q7VJX1
protein_2734	B8D7B3
protein_2735	P66808
protein_2736	A9GIM9
protein_2737	B0S0K8
protein_2738	B1I012
protein_2739	B2GB18
protein_2740	B3E8N9
protein_2741	P75144
protein_2742	A5IKQ2
protein_2743	Q00839
protein_2744	A8EWH6
protein_2745	Q1IQ53
protein_2746	P9WL63
protein_2747	P9WGG7
protein_2748	Q97JJ9
protein_2749	O34398
protein_2750	O05272
protein_2751	A5FRK7
protein_2752	A5VLG6
protein_2753	A7H905
protein_2754	A8YVK1
protein_2755	A9NF62
protein_2756	A0A7Y6Z670
protein_2757	A0A8G1LWR2
protein_2758	I3YC36
protein_2759	A0A257SLN8
protein_2760	A0A2T0QNT5
protein_2761	P62212
protein_2762	Q03R35
protein_2763	Q0AY82
protein_2764	Q18AP0
protein_2765	Q1WUN7
protein_2766	A4Y028
protein_2767	A5IBE1
protein_2768	A6Q433
protein_2769	A7Z6F3
protein_2770	A9BIJ5
protein_2771	P44424
protein_2772	B5YAR4
protein_2773	Q4FNQ0
protein_2774	Q9RUG2
protein_2775	A4FBF7
protein_2776	B8J369
protein_2777	C0ZEZ4
protein_2778	C5D4S3
protein_2779	P96590
protein_2780	Q9RX22
protein_2781	A0RAX6
protein_2782	A1WBZ4
protein_2783	A4FBA6
protein_2784	B8EMF2
protein_2785	Q39QP7
protein_2786	Q7UM99
protein_2787	P52644
protein_2788	A5FUG6
protein_2789	A8F732
protein_2790	Q2SR47
protein_2791	Q7UJI3
protein_2792	Q9CKD6
protein_2793	A6QCE8
protein_2794	B0TU65
protein_2795	B7IDS3
protein_2796	Q0AN24
protein_2797	Q3ACA8
protein_2798	A4J536
protein_2799	A5FE87
protein_2800	A5VIX1
protein_2801	A7H8A2
protein_2802	A8MLJ8
protein_2803	Q67NL2
protein_2804	Q8K9R7
protein_2805	P9WI71
protein_2806	O53168
protein_2807	P0A0B7
protein_2808	P9WHV4
protein_2809	H9L427
protein_2810	Q3JCK6
protein_2811	Q729U1
protein_2812	Q7VTU0
protein_2813	Q8DKK2
protein_2814	Q8RCZ0
protein_2815	Q9KCU7
protein_2816	B3E790
protein_2817	B5YFL3
protein_2818	B8FU83
protein_2819	B9MIW4
protein_2820	A0A0N1BAF6
protein_2821	A0A167AU55
protein_2822	A0A1I3B251
protein_2823	A5EVZ5
protein_2824	A5V1E5
protein_2825	A6W7S6
protein_2826	A8LHP8
protein_2827	A9KNV9
protein_2828	A2BTL7
protein_2829	A7HVY9
protein_2830	B1YMH0
protein_2831	B8EQB8
protein_2832	Q187T5
protein_2833	P58407
protein_2834	Q9V0D5
protein_2835	P11177
protein_2836	P21914
protein_2837	A5CC52
protein_2838	A0A0Q5SY24
protein_2839	A0A1V6AE56
protein_2840	B1ZN03
protein_2841	B2UU34
protein_2842	B5EJL8
protein_2843	B8DU32
protein_2844	A0A1E7IKP6
protein_2845	A0A1H1VCG5
protein_2846	P25078
protein_2847	Q67R59
protein_2848	A0LDY1
protein_2849	A1SX61
protein_2850	A2RIM1
protein_2851	G4V4G6
protein_2852	A0LZD4
protein_2853	Q1LTZ4
protein_2854	H8ZPX2
protein_2855	P9WMZ1
protein_2856	Q834C0
protein_2857	A1B964
protein_2858	A6LWJ0
protein_2859	B0T4U9
protein_2860	B5YK93
protein_2861	A0A1S2VN93
protein_2862	A0A2M7SMD9
protein_2863	Q5YVN7
protein_2864	Q6D165
protein_2865	Q74FS7
protein_2866	Q8EQ56
protein_2867	O34763
protein_2868	P9WJQ1
protein_2869	P9WIZ9
protein_2870	P9WL04
protein_2871	O30917
protein_2872	O84645
protein_2873	P65954
protein_2874	Q043G5
protein_2875	Q0C5W4
protein_2876	Q8RC42
protein_2877	Q9HT80
protein_2878	Q9ZJE9
protein_2879	A1AT89
protein_2880	P37960
protein_2881	Q2GDR7
protein_2882	Q607A3
protein_2883	C0QW93
protein_2884	A0L4S0
protein_2885	B9MPK5
protein_2886	Q0TTK8
protein_2887	P29272
protein_2888	C5BV40
protein_2889	P14303
protein_2890	Q01TU5
protein_2891	Q0AYB5
protein_2892	Q15ZZ5
protein_2893	A4IMI0
protein_2894	A5D3W7
protein_2895	A5UB83
protein_2896	A6V4J2
protein_2897	A8GY89
protein_2898	B9KHJ1
protein_2899	C3KCT2
protein_2900	O67455
protein_2901	P61669
protein_2902	Q04RU6
protein_2903	Q4JAV3
protein_2904	O31754
protein_2905	Q03JN2
protein_2906	A5CCM6
protein_2907	O66640
protein_2908	Q2FTN3
protein_2909	Q7NAY0
protein_2910	O87887
protein_2911	Q1LI56
protein_2912	Q1LPH7
protein_2913	Q7DF83
protein_2914	P14194
protein_2915	A0A0H3NJI9
protein_2916	O34321
protein_2917	P77319
protein_2918	A9B775
protein_2919	B0B843
protein_2920	B1AI69
protein_2921	B1YVN3
protein_2922	B2UJ29
protein_2923	B1Y4A8
protein_2924	P63020
protein_2925	Q47537
protein_2926	P0ADE2
protein_2927	Q8K9V9
protein_2928	O30851
protein_2929	P9WID3
protein_2930	P9WGF7
protein_2931	P9WMI6
protein_2932	Q9KWS8
protein_2933	A9HBY2
protein_2934	P60970
protein_2935	Q7M7S6
protein_2936	P75747
protein_2937	P64594
protein_2938	P9WQ23
protein_2939	Q548P6
protein_2940	L7N5A6
protein_2941	B7J1I6
protein_2942	Q0C618
protein_2943	Q5FUS6
protein_2944	A2BLL6
protein_2945	B8GE19
protein_2946	Q88VP8
protein_2947	Q8REL0
protein_2948	Q9KD50
protein_2949	Q6AGC6
protein_2950	P39177
protein_2951	A1SR12
protein_2952	A2RIF3
protein_2953	A4TSD4
protein_2954	A5GI46
protein_2955	A6LLU8
protein_2956	A8FYL1
protein_2957	B8GNX0
protein_2958	Q1AXX5
protein_2959	Q5ZTY2
protein_2960	Q8FM79
protein_2961	B3CPW3
protein_2962	Q30UT6
protein_2963	Q89AC7
protein_2964	A1KTK4
protein_2965	A6UB14
protein_2966	A0A7X5WFM4
protein_2967	Q2GCN1
protein_2968	Q2RT96
protein_2969	Q3JEY0
protein_2970	Q4UJW3
protein_2971	Q7WY62
protein_2972	P31112
protein_2973	P52941
protein_2974	A8Y461
protein_2975	C4WUT0
protein_2976	Q17Q32
protein_2977	O32605
protein_2978	P0AB40
protein_2979	Q8NN75
protein_2980	I6YA50
protein_2981	P42555
protein_2982	Q7U3T3
protein_2983	P74459
protein_2984	Q6MTF4
protein_2985	P0A8J4
protein_2986	B0BM20
protein_2987	P9WGX7
protein_2988	Q1ID47
protein_2989	Q8A7C8
protein_2990	P0A0E9
protein_2991	A0A060US33
protein_2992	P0A8T7
protein_2993	Q9RR46
protein_2994	A8HYF7
protein_2995	B8F9K1
protein_2996	Q3A334
protein_2997	P9WG27
protein_2998	P9WKB9
protein_2999	P9WLS8
protein_3000	P19940
protein_3001	O34573
protein_3002	A0A1F3W7U1
protein_3003	A0A1H2GI90
protein_3004	A0A1W6EDJ1
protein_3005	B1MZM2
protein_3006	B2FRN6
protein_3007	B3EMK1
protein_3008	B8H455
protein_3009	Q03D71
protein_3010	Q0AAV2
protein_3011	Q15YP8
protein_3012	Q1QDW8
protein_3013	Q2JP15
protein_3014	Q72MY7
protein_3015	Q837G3
protein_3016	Q8EA81
protein_3017	Q8RGR2
protein_3018	Q9PK96
protein_3019	B9L603
protein_3020	Q3JBU6
protein_3021	Q5L051
protein_3022	Q57761
protein_3023	Q72H91
protein_3024	P05327
protein_3025	Q9I2N0
protein_3026	P60511
protein_3027	Q8Y510
protein_3028	A0PY66
protein_3029	P74199
protein_3030	Q8GQU1
protein_3031	A5EVF4
protein_3032	B1YIA9
protein_3033	B9DNK2
protein_3034	Q7NHY0
protein_3035	Q831U0
protein_3036	Q8FPQ4
protein_3037	Q97N32
protein_3038	B3EN08
protein_3039	P0A377
protein_3040	P37963
protein_3041	Q03749
protein_3042	O06720
protein_3043	D4HA34
protein_3044	Q6F0E5
protein_3045	B0K5N3
protein_3046	Q2N6I8
protein_3047	A1ANV1
protein_3048	Q45495
protein_3049	B0TYF3
protein_3050	Q2S030
protein_3051	Q8XIT1
protein_3052	A1BD27
protein_3053	Q1LIB2
protein_3054	Q1LRM9
protein_3055	Q1LHK7
protein_3056	E4PJF6
protein_3057	P0AG11
protein_3058	Q2JNP0
protein_3059	A0RQV2
protein_3060	Q02D35
protein_3061	Q8A2N7
protein_3062	A5VNA6
protein_3063	Q1LF33
protein_3064	F4DAE8
protein_3065	P12295
protein_3066	P05100
protein_3067	P9WM53
protein_3068	A5ITA7
protein_3069	P50026
protein_3070	Q7NBW0
protein_3071	Q1AXX6
protein_3072	B0SII2
protein_3073	B1YGC2
protein_3074	Q8ZUE9
protein_3075	Q59939
protein_3076	F1C7I4
protein_3077	Q6MAA3
protein_3078	O86308
protein_3079	P49939
protein_3080	Q9ZFB5
protein_3081	Q7AKI9
protein_3082	P54450
protein_3083	Q04AN7
protein_3084	Q0SRN2
protein_3085	Q1D2J5
protein_3086	Q252Y0
protein_3087	Q2RMQ2
protein_3088	Q2RKY8
protein_3089	Q8DKW4
protein_3090	A7HNV0
protein_3091	Q4JVD5
protein_3092	P54518
protein_3093	C6BXI4
protein_3094	P42446
protein_3095	Q03F64
protein_3096	Q0BV38
protein_3097	Q189A4
protein_3098	A0Q6S4
protein_3099	A5V3W0
protein_3100	B0K1A4
protein_3101	B4U6P0
protein_3102	Q049I6
protein_3103	B0T1N5
protein_3104	B1W3G3
protein_3105	B2J5G0
protein_3106	B6JCQ7
protein_3107	Q49807
protein_3108	P9WHV9
protein_3109	Q9RXI7
protein_3110	A0A0K0XUH6
protein_3111	P95781
protein_3112	Q04GY8
protein_3113	Q0VRJ9
protein_3114	Q1II25
protein_3115	A1SA23
protein_3116	A3DEB9
protein_3117	A4X0U0
protein_3118	A5G447
protein_3119	A6Q485
protein_3120	A0A7Y3AQB6
protein_3121	Q67N73
protein_3122	Q6MAF1
protein_3123	Q7P1I1
protein_3124	Q8K9D2
protein_3125	O07919
protein_3126	A2QJX5
protein_3127	Q9HY23
protein_3128	B9KAB9
protein_3129	Q601X8
protein_3130	P0A3T7
protein_3131	P45693
protein_3132	Q5WHU1
protein_3133	O07949
protein_3134	P96711
protein_3135	B5YD80
protein_3136	B8FKD5
protein_3137	B9L9P0
protein_3138	C5CCI2
protein_3139	O67766
protein_3140	Q0I685
protein_3141	P0ABS5
protein_3142	A1WSU0
protein_3143	A8Z5X0
protein_3144	A9W1H7
protein_3145	B7UWI0
protein_3146	E0SBQ8
protein_3147	P40183
protein_3148	Q01895
protein_3149	A0A829Y7Z5
protein_3150	A0A847C1D5
protein_3151	A7ZEJ3
protein_3152	B8CY71
protein_3153	Q31GE9
protein_3154	Q7UM97
protein_3155	Q89B27
protein_3156	A1K314
protein_3157	A2C563
protein_3158	A4QET8
protein_3159	A5FRP8
protein_3160	A5VZU6
protein_3161	P0ABS1
protein_3162	P96659
protein_3163	A0A0D1LRF4
protein_3164	Q92FR5
protein_3165	Q9Z7W5
protein_3166	P0AB58
protein_3167	P77395
protein_3168	P0A4D8
protein_3169	Q9WZ45
protein_3170	A0Q1P9
protein_3171	A1SSN0
protein_3172	A3M0Q6
protein_3173	A4XKV7
protein_3174	B5YE43
protein_3175	Q07PK4
protein_3176	Q30PJ5
protein_3177	Q7U347
protein_3178	A8FFT6
protein_3179	Q1LM63
protein_3180	Q1LPD7
protein_3181	Q9RVE7
protein_3182	P04395
protein_3183	Q46896
protein_3184	Q83AH2
protein_3185	B0S1Q1
protein_3186	A4XN51
protein_3187	B0K5N4
protein_3188	Q11CN2
protein_3189	Q5XCL7
protein_3190	A5EYE5
protein_3191	P28616
protein_3192	Q73Q15
protein_3193	Q0W874
protein_3194	B8GXP6
protein_3195	P42923
protein_3196	A8FL81
protein_3197	P0AE37
protein_3198	P94358
protein_3199	A2C5F4
protein_3200	Q9PJ25
protein_3201	O28496
protein_3202	A5IIK3
protein_3203	B0U1G7
protein_3204	B1YGB5
protein_3205	B2SI43
protein_3206	B3W9W3
protein_3207	B7J0P3
protein_3208	A0A427DT99
protein_3209	A0A4R4BMI5
protein_3210	P42425
protein_3211	Q79VC4
protein_3212	A4TGM7
protein_3213	B0U6U9
protein_3214	B8GXP3
protein_3215	B8I2Q5
protein_3216	C0QZV8
protein_3217	C5BUP6
protein_3218	P0ABR1
protein_3219	Q01S04
protein_3220	C5CGT6
protein_3221	Q2SL19
protein_3222	Q8RIA6
protein_3223	A8F840
protein_3224	Q5YTE0
protein_3225	A0A1H6TQI8
protein_3226	B7K8P1
protein_3227	B8I8F2
protein_3228	C0R5H4
protein_3229	C5C7X6
protein_3230	P18642
protein_3231	O32271
protein_3232	Q2G0P7
protein_3233	C3PN29
protein_3234	P27477
protein_3235	Q4MQ55
protein_3236	A9AXP4
protein_3237	B0B876
protein_3238	B3DWU2
protein_3239	Q7NDJ2
protein_3240	Q890L8
protein_3241	Q8EWT2
protein_3242	Q97MB3
protein_3243	Q9S3Q0
protein_3244	A0A2V8IZT0
protein_3245	A1S699
protein_3246	B5EPM9
protein_3247	Q6FAA9
protein_3248	B4SCV5
protein_3249	O83746
protein_3250	C0QAG9
protein_3251	C4LC00
protein_3252	P73349
protein_3253	Q07ZS6
protein_3254	P46914
protein_3255	Q733L9
protein_3256	P07789
protein_3257	Q9Z4Z5
protein_3258	A1V9Q3
protein_3259	Q1IHV6
protein_3260	Q2GDJ0
protein_3261	Q2S5C8
protein_3262	Q3ABX8
protein_3263	A6QBG1
protein_3264	B4F059
protein_3265	Q0A7E2
protein_3266	Q492C7
protein_3267	Q7V9C9
protein_3268	I2GE60
protein_3269	P0ABT2
protein_3270	P0A3E0
protein_3271	A7MGG4
protein_3272	B0B8S4
protein_3273	Q0BWA8
protein_3274	Q98DZ0
protein_3275	P44611
protein_3276	O05400
protein_3277	P54146
protein_3278	Q0AHZ3
protein_3279	Q31F55
protein_3280	Q6MB28
protein_3281	P63725
protein_3282	B2V8I4
protein_3283	Q58643
protein_3284	P51697
protein_3285	P9WNF7
protein_3286	C0ZPK5
protein_3287	Q10ZF7
protein_3288	P58838
protein_3289	B8G0L2
protein_3290	Q6MGL6
protein_3291	B0TI92
protein_3292	Q2JQ57
protein_3293	P30109
protein_3294	Q9KA95
protein_3295	A2BUG6
protein_3296	G8QM61
protein_3297	P07870
protein_3298	P13801
protein_3299	P10727
protein_3300	Q7WY77
protein_3301	A0A839T3H4
protein_3302	P9WIY1
protein_3303	A0AIY2
protein_3304	A1A2G3
protein_3305	A1WY80
protein_3306	A4IQ49
protein_3307	O34391
protein_3308	P26904
protein_3309	P45870
protein_3310	Q45774
protein_3311	A7Z2J3
protein_3312	Q83FI1
protein_3313	Q1LHL1
protein_3314	Q1LI28
protein_3315	Q1LS28
protein_3316	Q1LP76
protein_3317	P55340
protein_3318	Q65DU9
protein_3319	B7ISF6
protein_3320	O34806
protein_3321	P39072
protein_3322	Q1LIP9
protein_3323	Q1LSF7
protein_3324	Q1LS25
protein_3325	P30334
protein_3326	O34403
protein_3327	Q1LI13
protein_3328	Q1LI88
protein_3329	Q1LI64
protein_3330	Q1LIB4
protein_3331	Q97P97
protein_3332	A6KZJ8
protein_3333	B2U7E0
protein_3334	Q3A6V2
protein_3335	P0AEM0
protein_3336	Q59978
protein_3337	Q88VL9
protein_3338	A1KTV8
protein_3339	B4F2G7
protein_3340	Q31NV9
protein_3341	A1WZ92
protein_3342	Q3A7Y4
protein_3343	P54393
protein_3344	Q47149
protein_3345	O25526
protein_3346	P0ACV2
protein_3347	A9B3R2
protein_3348	O52164
protein_3349	Q5H432
protein_3350	Q7X2S8
protein_3351	A7HUZ6
protein_3352	A9B0X2
protein_3353	B0CAE7
protein_3354	B2A5W5
protein_3355	B2KE93
protein_3356	O67939
protein_3357	Q31EL5
protein_3358	Q9RB37
protein_3359	A8MAY1
protein_3360	P75247
protein_3361	Q1LIL8
protein_3362	Q1LRP1
protein_3363	Q1LR36
protein_3364	Q1LI49
protein_3365	Q057M2
protein_3366	Q01464
protein_3367	B2US28
protein_3368	Q6MGU4
protein_3369	A0RBT0
protein_3370	Q9A259
protein_3371	A0Q6P9
protein_3372	A1VNK0
protein_3373	A3PLU4
protein_3374	A5CXB8
protein_3375	A6VX60
protein_3376	A8FBR0
protein_3377	A9IW95
protein_3378	B0TZS5
protein_3379	B1Y8E2
protein_3380	O52065
protein_3381	O52960
protein_3382	A9B1H0
protein_3383	P57133
protein_3384	A2BRN2
protein_3385	A4J4X3
protein_3386	A5F5Y1
protein_3387	A5VHK2
protein_3388	A7GXS4
protein_3389	B4S9D1
protein_3390	Q0AIY2
protein_3391	Q7VIE2
protein_3392	A1A1J0
protein_3393	A0A7Y5JY51
protein_3394	G8TJ31
protein_3395	P0A968
protein_3396	Q1QHD7
